,name,ratings,review_count,ctype,years,hq,employees
83,Shriram Transpor...,4.1,(3.8k Reviews),Public,44 years old,"Mumbai,Maharashtra + 730 more",10k-50k Employees (India)
84,JSW Steel,3.9,(3.8k Reviews),Public,41 years old,"Mumbai,Maharashtra + 109 more",10k-50k Employees (India)
85,Vivo,4,(3.7k Reviews),Private,14 years old,"Gurgaon/Gurugram,Haryana + 346 more",5k-10k Employees (India)
86,Aurobindo Pharma,4,(3.7k Reviews),Public,37 years old,"Hyderabad/Secunderabad,Telangana + 53 more",10k-50k Employees (India)
87,Zydus Cadila,4.2,(3.7k Reviews),Public,71 years old,"Ahmedabad, India + 119 more",10k-50k Employees (India)
88,Max Life Insuran...,4.2,(3.7k Reviews),JV,23 years old,"Gurgaon/Gurugram,Haryana + 337 more",10k-50k Employees (India)
89,eClerx,3.5,(3.7k Reviews),Public,23 years old,"Mumbai,Maharashtra + 14 more",10k-50k Employees (India)
90,Muthoot Finance,3.6,(3.7k Reviews),Public,84 years old,"Kochi/Cochin,Kerala + 536 more",10k-50k Employees (India)
91,Siemens,4.2,(3.7k Reviews),Public,176 years old,"Munich,Bavaria + 107 more",5k-10k Employees (India)
92,Mahindra & Mahin...,4.3,(3.7k Reviews),Public,32 years old,"Mumbai,Maharashtra + 595 more",10k-50k Employees (India)
93,Apollo Hospitals,4.1,(3.7k Reviews),Public,40 years old,"San Francisco,California + 167 more",50k-1 Lakh Employees (India)
94,Oracle,3.9,(3.6k Reviews),Public,46 years old,"Austin,Texas + 35 more",50k-1 Lakh Employees (India)
95,Tata Projects,4.2,(3.6k Reviews),Public,44 years old,"Mumbai,Maharashtra + 215 more",10k-50k Employees (India)
96,JLL,4.2,(3.5k Reviews),Private,26 years old,"Mumbai,Maharashtra + 62 more",5k-10k Employees (India)
97,First Source,3.9,(3.5k Reviews),Public,22 years old,"Mumbai,Maharashtra + 47 more",10k-50k Employees (India)
98,Nokia,4.3,(3.5k Reviews),Private,158 years old,"Espoo,Southern Finland + 171 more",10k-50k Employees (India)
99,Hewlett-Packard ...,4.3,(3.5k Reviews),Private,8 years old,"Houston,Texas + 87 more",10k-50k Employees (India)
